eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C6E3,CISCO,15454-MS-ISC-100T,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,CAT1313A0AH,SDU Spares,SDU-RTP10,3
005C6E5,M2 OPTICS,FIBER LAB 3200,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,CS0507-02,SDU Spares,SDU-RTP10,3
005C6E6,CISCO,15454-PP-80-LC,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,ADM1312000L,SDU Spares,SDU-RTP10,3
005C6E7,CISCO,15454-PP-80-LC,RTP10 SDU Lab,JJ,02,020022838,ACTIVE,ADM13160003,SDU Spares,SDU-RTP10,3
005C6E8,SANBLAZE,SB-VLUN4-4-12,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,124580106A0,SDU Spares,SDU-RTP10,3
005C6E9,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,JJ,01,020022838,ACTIVE,103471686,SDU Spares,SDU-RTP10,3
005C6EA,UNKNOWN,SERVER,RTP10 SDU Lab,H,18,020022838,ACTIVE,ARWSM093800024,SDU Spares,SDU-RTP10,3
005C6EB,FINISAR,XGIG-4FG4G1,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,2005200,SDU Spares,SDU-RTP10,3
005C6EC,CISCO,WS-SUP720-3B,RTP10 SDU Lab,I,11,020022838,ACTIVE,SAL09507S6K,SDU Spares,SDU-RTP10,3
005C6ED,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236120900,SDU Spares,SDU-RTP10,3
005C6EE,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236120874,SDU Spares,SDU-RTP10,3
005C6EF,CISCO,WS-X6548-GE-TX,RTP10 SDU Lab,DD,28,020022838,ACTIVE,SAL1007DEWJ,SDU Spares,SDU-RTP10,3
005C6F0,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020857,SDU Spares,SDU-RTP10,3
005C6F1,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020861,SDU Spares,SDU-RTP10,3
005C6F2,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020863,SDU Spares,SDU-RTP10,3
005C6F3,AGILENT,ROUTER TESTER 900,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46144211,SDU Spares,SDU-RTP10,3
005C6F4,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46361601,SDU Spares,SDU-RTP10,3
005C6F5,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020724,SDU Spares,SDU-RTP10,3
005C6F7,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46291608,SDU Spares,SDU-RTP10,3
